id,name
ba301714-4caa-4bec-a9b7-2e7dcd79cc96,Player_ba301714-4caa-4bec-a9b7-2e7dcd79cc96
cd1780c8-ef52-452f-b23d-519131608c53,Player_cd1780c8-ef52-452f-b23d-519131608c53
84164261-3955-41b6-ac58-73d0de3bb45f,Player_84164261-3955-41b6-ac58-73d0de3bb45f
73199963-e4f2-45f6-a2f7-2267e91f9bec,Player_73199963-e4f2-45f6-a2f7-2267e91f9bec
bd54b1ba-f3a8-4a69-8db5-40dd3426857f,Player_bd54b1ba-f3a8-4a69-8db5-40dd3426857f
66510fa8-0137-4ded-9236-ff1b705a8133,Player_66510fa8-0137-4ded-9236-ff1b705a8133
02394e6b-6260-47a0-acc6-cb0ac89b6dfe,Player_02394e6b-6260-47a0-acc6-cb0ac89b6dfe
136f58b7-02c0-494c-916f-9cedc65d31d4,Player_136f58b7-02c0-494c-916f-9cedc65d31d4
3ebd0316-3eb1-4fb4-9de0-38646d2dd950,Player_3ebd0316-3eb1-4fb4-9de0-38646d2dd950
75f2fbb8-a1b9-4d9b-a021-d2e9c248c05b,Player_75f2fbb8-a1b9-4d9b-a021-d2e9c248c05b
c709c42e-9d22-4b2d-ba31-5c0b4173e1f9,Player_c709c42e-9d22-4b2d-ba31-5c0b4173e1f9
4b574be8-6280-4d02-a87a-50cd4ed41c92,Player_4b574be8-6280-4d02-a87a-50cd4ed41c92
8b9079e2-dffd-47e8-857c-de83f9ab45d8,Player_8b9079e2-dffd-47e8-857c-de83f9ab45d8
28fa4214-6331-457a-bcd1-f74c39bd8a90,Player_28fa4214-6331-457a-bcd1-f74c39bd8a90
077b0af7-ffff-4748-a8f3-52adc52c9e63,Player_077b0af7-ffff-4748-a8f3-52adc52c9e63
6c30061f-7473-4c89-9cc2-ef02f24ac83b,Player_6c30061f-7473-4c89-9cc2-ef02f24ac83b
cbbe96f7-0b72-4ddc-b571-538be9e6d621,Player_cbbe96f7-0b72-4ddc-b571-538be9e6d621
b771fe94-399a-4892-86d7-924dd6253025,Player_b771fe94-399a-4892-86d7-924dd6253025
f4d01b9c-fcd6-4067-b471-b0a7a6a2f68c,Player_f4d01b9c-fcd6-4067-b471-b0a7a6a2f68c
c4c97f4a-a4ab-4979-a139-c72abc94eca2,Player_c4c97f4a-a4ab-4979-a139-c72abc94eca2
8ca836ac-6c11-4258-a400-e1c7ca76d06c,Player_8ca836ac-6c11-4258-a400-e1c7ca76d06c
a3ab228f-66c6-4d36-b8d5-e2b2aaa7d85d,Player_a3ab228f-66c6-4d36-b8d5-e2b2aaa7d85d
ab68cf5e-5ee2-4c63-bc67-6456f9c3623f,Player_ab68cf5e-5ee2-4c63-bc67-6456f9c3623f
f1df2cc9-b888-47c1-a067-1f32c02a9a7c,Player_f1df2cc9-b888-47c1-a067-1f32c02a9a7c
623d8013-8a49-4ac7-b4e1-67f8d8466ab4,Player_623d8013-8a49-4ac7-b4e1-67f8d8466ab4
7490c5ae-6fa5-4fa2-b3d8-8003563b1387,Player_7490c5ae-6fa5-4fa2-b3d8-8003563b1387
f310b00f-7166-403e-8a64-2cb987141b2f,Player_f310b00f-7166-403e-8a64-2cb987141b2f
9d3818fd-7ad3-462c-8f1a-b10e3f48ab8d,Player_9d3818fd-7ad3-462c-8f1a-b10e3f48ab8d
17809cda-f098-4d6f-820a-70acdd803bad,Player_17809cda-f098-4d6f-820a-70acdd803bad
c4b38d62-7a3b-472b-becb-bbe090003958,Player_c4b38d62-7a3b-472b-becb-bbe090003958
022325f6-ffef-401d-ae2e-7cc3bf48f29a,Player_022325f6-ffef-401d-ae2e-7cc3bf48f29a
12d1ba94-ad88-45dd-9464-eb9c069e0574,Player_12d1ba94-ad88-45dd-9464-eb9c069e0574
57fff903-f621-401e-b458-492d2c265bc5,Player_57fff903-f621-401e-b458-492d2c265bc5
bd7e150c-38b5-44b8-9ee5-799857fcf347,Player_bd7e150c-38b5-44b8-9ee5-799857fcf347
12adf6c9-426f-41c1-a47c-99f198fd4d72,Player_12adf6c9-426f-41c1-a47c-99f198fd4d72
e3ba678d-f809-4028-b1bf-823a9e28c42d,Player_e3ba678d-f809-4028-b1bf-823a9e28c42d
6bb38bdf-7c61-4622-a18d-252af9016cc4,Player_6bb38bdf-7c61-4622-a18d-252af9016cc4
d68fcc24-32f5-4499-a2ea-7aaebc580911,Player_d68fcc24-32f5-4499-a2ea-7aaebc580911
75c4c760-0bc3-4b2f-be51-0dcaa3f6fa4f,Player_75c4c760-0bc3-4b2f-be51-0dcaa3f6fa4f
d4151c9d-264e-457d-99ec-f1389a868147,Player_d4151c9d-264e-457d-99ec-f1389a868147
2ec323e1-3679-470b-b519-bfcb5e8296cb,Player_2ec323e1-3679-470b-b519-bfcb5e8296cb
9c02ec48-a0de-4ff1-bad9-29b42464813c,Player_9c02ec48-a0de-4ff1-bad9-29b42464813c
6861efa3-271b-44ef-b16f-e5da1926af55,Player_6861efa3-271b-44ef-b16f-e5da1926af55
b4381b09-6aef-424b-acdc-7e26a3f12396,Player_b4381b09-6aef-424b-acdc-7e26a3f12396
3b8f2f4a-a2fb-46b4-8f6c-cdeda1fa65cb,Player_3b8f2f4a-a2fb-46b4-8f6c-cdeda1fa65cb
9bcd695c-1422-496b-883a-16138f13c0c4,Player_9bcd695c-1422-496b-883a-16138f13c0c4
58e4deec-aab0-4869-81b6-8bd90503dd8a,Player_58e4deec-aab0-4869-81b6-8bd90503dd8a
fee88fd7-d4ba-4dc9-a571-753cad5b769a,Player_fee88fd7-d4ba-4dc9-a571-753cad5b769a
e2c4bd35-e715-4e56-9f59-a433eb59756d,Player_e2c4bd35-e715-4e56-9f59-a433eb59756d
e24955a4-6bd5-46e1-9a6f-21040d6640d3,Player_e24955a4-6bd5-46e1-9a6f-21040d6640d3
81c9a3ef-780c-46ab-8d28-c1b737b7bec4,Player_81c9a3ef-780c-46ab-8d28-c1b737b7bec4
83c57c17-d6c9-4b07-820b-b86436623802,Player_83c57c17-d6c9-4b07-820b-b86436623802
7071f033-b9c9-44d8-8b8f-ce56e6c2c376,Player_7071f033-b9c9-44d8-8b8f-ce56e6c2c376
0b801de1-a3a7-44f9-9ec6-5feff3296833,Player_0b801de1-a3a7-44f9-9ec6-5feff3296833
6c8245d5-c50f-4c25-a6da-a26d0b4ef8cf,Player_6c8245d5-c50f-4c25-a6da-a26d0b4ef8cf
9ad8e707-c4fb-401d-bd23-c0e8355f68cb,Player_9ad8e707-c4fb-401d-bd23-c0e8355f68cb
364a5b9e-7bcd-48c8-a615-c04a61859384,Player_364a5b9e-7bcd-48c8-a615-c04a61859384
e11983ed-4746-4277-b042-461dc472ba6f,Player_e11983ed-4746-4277-b042-461dc472ba6f
8888001b-65bd-4400-a04c-2cd77900fa9f,Player_8888001b-65bd-4400-a04c-2cd77900fa9f
a328b7e5-1265-4f41-b1d6-0a3b647f5938,Player_a328b7e5-1265-4f41-b1d6-0a3b647f5938
b79aefef-e3ec-4503-84df-cb3bc5a83eaa,Player_b79aefef-e3ec-4503-84df-cb3bc5a83eaa
7e1daeba-2fb0-41cf-a67f-5dcb5164c588,Player_7e1daeba-2fb0-41cf-a67f-5dcb5164c588
2af479fe-16fa-473f-b440-9456edafc8f2,Player_2af479fe-16fa-473f-b440-9456edafc8f2
5b300fbb-0856-46af-afc7-db2f7efa63b5,Player_5b300fbb-0856-46af-afc7-db2f7efa63b5
fe4ec720-9ffb-4c0e-9f37-c068525f97de,Player_fe4ec720-9ffb-4c0e-9f37-c068525f97de
97a6b9ea-1812-4191-861e-e35d19faddf2,Player_97a6b9ea-1812-4191-861e-e35d19faddf2
2050fbf1-75db-4263-b16b-275992203634,Player_2050fbf1-75db-4263-b16b-275992203634
753e9d77-c692-421a-b57c-47d767c8e269,Player_753e9d77-c692-421a-b57c-47d767c8e269
f48854e2-58ee-467d-ae3a-9c3df000facf,Player_f48854e2-58ee-467d-ae3a-9c3df000facf
d0556137-3ab0-46f8-8748-21b16d81a252,Player_d0556137-3ab0-46f8-8748-21b16d81a252
47c8ada3-0323-4405-9704-900fd40f3b1a,Player_47c8ada3-0323-4405-9704-900fd40f3b1a
